refcode,cif_path,NH3_uptake_298K_1bar [mmol/g]
KESHAT,cifs/KESHAT.cif,7.245873
KIDVIE,cifs/KIDVIE.cif,7.113681
KIGCEK,cifs/KIGCEK.cif,0.017061
KINDOC,cifs/KINDOC.cif,4.990551
KINFAQ,cifs/KINFAQ.cif,5.661341
KINFEU,cifs/KINFEU.cif,6.205496
KINQAB,cifs/KINQAB.cif,0.95075
KIPJIE,cifs/KIPJIE.cif,3.626077
KIPJOK,cifs/KIPJOK.cif,4.346322
KIPKAX,cifs/KIPKAX.cif,3.165284
KIPKEB,cifs/KIPKEB.cif,4.995913
KIPZEQ,cifs/KIPZEQ.cif,0.164527
KIYMIQ,cifs/KIYMIQ.cif,7.298808
KOFPEB02,cifs/KOFPEB02.cif,3.546619
KOFPEB03,cifs/KOFPEB03.cif,3.412826
KOFPEB,cifs/KOFPEB.cif,3.543723
KONYOB,cifs/KONYOB.cif,0.157358
KUDLUR,cifs/KUDLUR.cif,3.521011
KULRIT,cifs/KULRIT.cif,7.146125
KUNWEW,cifs/KUNWEW.cif,2.223503
LABPOV,cifs/LABPOV.cif,2.542062
LABPUB,cifs/LABPUB.cif,1.917282
LAGWEX,cifs/LAGWEX.cif,2.697749
LASWEJ,cifs/LASWEJ.cif,1.936078
LASYOU,cifs/LASYOU.cif,0.053902
LAVTEJ,cifs/LAVTEJ.cif,4.915992
LAVTIN,cifs/LAVTIN.cif,0.206352
LAVTOT,cifs/LAVTOT.cif,0.165926
LAVTUZ,cifs/LAVTUZ.cif,0.056219
LAWGEW,cifs/LAWGEW.cif,0.006838
LAWGIA,cifs/LAWGIA.cif,0.006829
LAWGOG,cifs/LAWGOG.cif,0.007069
LAWGUM,cifs/LAWGUM.cif,0.007122
LAZGOK,cifs/LAZGOK.cif,2.968719
LAZKUU,cifs/LAZKUU.cif,0.354279
LEDLEN,cifs/LEDLEN.cif,0.054485
LEGGIO,cifs/LEGGIO.cif,2.916832
LEJBUX,cifs/LEJBUX.cif,0.973586
LELRUR,cifs/LELRUR.cif,5.776846
LIDZOP,cifs/LIDZOP.cif,0.163095
LIDZUV,cifs/LIDZUV.cif,0.214275
LIFWEE,cifs/LIFWEE.cif,1.497836
LIFWOO,cifs/LIFWOO.cif,2.558789
LIVTEP,cifs/LIVTEP.cif,0.036886
LIWXIZ,cifs/LIWXIZ.cif,0.051962
LOBHAM,cifs/LOBHAM.cif,10.72628
LOJFUL,cifs/LOJFUL.cif,0.157353
LOQLEJ,cifs/LOQLEJ.cif,0.097676
LOQLIN,cifs/LOQLIN.cif,0.159058
LOWQIX,cifs/LOWQIX.cif,3.62817
LUCDIW,cifs/LUCDIW.cif,5.243767
LUFNAC01,cifs/LUFNAC01.cif,7.28855
LUFNAC02,cifs/LUFNAC02.cif,7.91888
LUFNAC03,cifs/LUFNAC03.cif,6.473451
LUFNAC04,cifs/LUFNAC04.cif,6.632402
LUFNAC05,cifs/LUFNAC05.cif,6.632249
LUFNAC,cifs/LUFNAC.cif,6.728676
LUFNEG,cifs/LUFNEG.cif,4.628489
LUKREO,cifs/LUKREO.cif,3.495086
LUKRIS,cifs/LUKRIS.cif,3.161343
LUMDEC,cifs/LUMDEC.cif,0.082621
LUMZUO,cifs/LUMZUO.cif,6.654027
LUNBEB,cifs/LUNBEB.cif,2.869305
LUSHIR,cifs/LUSHIR.cif,0.786006
LUSHUD,cifs/LUSHUD.cif,1.744409
LUSJEP,cifs/LUSJEP.cif,0.806637
LUSJIT,cifs/LUSJIT.cif,0.497152
LUYHAP,cifs/LUYHAP.cif,0.030844
MABJUV,cifs/MABJUV.cif,0.064181
MABKEG,cifs/MABKEG.cif,0.166256
MABKIK01,cifs/MABKIK01.cif,0.13611
MADVUJ,cifs/MADVUJ.cif,0.06294
MADWAQ,cifs/MADWAQ.cif,0.138228
MAJHUC,cifs/MAJHUC.cif,4.633062
MAKXAZ,cifs/MAKXAZ.cif,0.933606
MAPFIS,cifs/MAPFIS.cif,6.30125
MARXEK,cifs/MARXEK.cif,3.939828
MASZUD,cifs/MASZUD.cif,0.344571
MAZSUD,cifs/MAZSUD.cif,0.182913
MEGBAD,cifs/MEGBAD.cif,5.058415
MEJQID,cifs/MEJQID.cif,0.234006
MEJQOJ,cifs/MEJQOJ.cif,0.259311
MEKDUC,cifs/MEKDUC.cif,0.338975
METYIU,cifs/METYIU.cif,0.09449
MEWNEH,cifs/MEWNEH.cif,6.086787
MICDEJ,cifs/MICDEJ.cif,6.412337
MIFGEP,cifs/MIFGEP.cif,3.489523
MIFKUJ,cifs/MIFKUJ.cif,0.383061
MIHLAR,cifs/MIHLAR.cif,1.605946
MIHLEV,cifs/MIHLEV.cif,3.731595
MIHLOF,cifs/MIHLOF.cif,4.821337
MIKJAR,cifs/MIKJAR.cif,3.717022
MIMVEJ,cifs/MIMVEJ.cif,1.822398
MINVUA,cifs/MINVUA.cif,0.88389
MIZJUB,cifs/MIZJUB.cif,4.042124
MOCKAR,cifs/MOCKAR.cif,0.045167
MOCKEV,cifs/MOCKEV.cif,0.821784
MODNIC,cifs/MODNIC.cif,0.132604
MODNOI,cifs/MODNOI.cif,0.329777
MODNUO,cifs/MODNUO.cif,0.363363
MOSDUT,cifs/MOSDUT.cif,2.556705
MOXNUJ,cifs/MOXNUJ.cif,0.014003
MOYMET,cifs/MOYMET.cif,6.719472
MOYYEF,cifs/MOYYEF.cif,0.072505
MOYYIJ,cifs/MOYYIJ.cif,0.03345
MUJRIT,cifs/MUJRIT.cif,3.049471
MULQOA,cifs/MULQOA.cif,7.292357
MURCAD,cifs/MURCAD.cif,5.218467
MURCIL,cifs/MURCIL.cif,0.165816
MURCOR,cifs/MURCOR.cif,0.068105
MURTUO,cifs/MURTUO.cif,4.882116
MUTVUT,cifs/MUTVUT.cif,1.64499
MUVGUG,cifs/MUVGUG.cif,0.109579
MUVHAN,cifs/MUVHAN.cif,0.096501
MUVHER,cifs/MUVHER.cif,0.104081
MUWQEB,cifs/MUWQEB.cif,3.198789
MUZHUL,cifs/MUZHUL.cif,3.717182
